NCTId,BriefTitle,Condition,LeadSponsorName,OverallStatus,Phase,InterventionType,CompletionDate,InterventionName
NCT01651403,"Study to Evaluate the Antiviral Efficacy, Safety and Tolerability of Tenofovir Disoproxil Fumarate Versus Placebo in Pediatric Participants With Chronic Hepatitis B Infection",Chronic Hepatitis B,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",July 2027,"['Tenofovir DF', 'TDF Placebo']"
NCT03852719,Study to Assess Efficacy and Safety of Bulevirtide in Participants With Chronic Hepatitis Delta (CHD),Chronic Hepatitis Delta,Gilead Sciences,"Active, not recruiting",Phase 3,Drug,July 2024,Bulevirtide
NCT02536300,Dose Optimization Study of Idelalisib in Follicular Lymphoma,Follicular Lymphoma,Gilead Sciences,"Active, not recruiting",Phase 3,Drug,November 2030,Idelalisib
NCT02842086,Study to Evaluate the Safety and Efficacy of Emtricitabine and Tenofovir Alafenamide (F/TAF) Fixed-Dose Combination Once Daily for Pre-Exposure Prophylaxis in Men and Transgender Women Who Have Sex With Men and Are At Risk of HIV-1 Infection,Pre-Exposure Prophylaxis of HIV-1 Infection,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",September 2022,"['F/TAF', 'F/TDF', 'F/TAF Placebo', 'F/TDF Placebo']"
NCT02836249,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Positive Hepatitis B (China),"['HBV', 'Chronic HBV Infections']",Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",November 2023,"['TAF', 'TDF', 'TAF Placebo', 'TDF Placebo']"
NCT02836236,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Negative Hepatitis B (China),"['HBV', 'Chronic HBV Infections']",Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",January 2024,"['TAF', 'TDF', 'TAF Placebo', 'TDF Placebo']"
NCT01940471,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Positive Hepatitis B,"['HBV', 'Chronic HBV Infection']",Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",November 2023,"['TAF', 'TDF', 'TAF Placebo', 'TDF Placebo']"
NCT01940341,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Negative Hepatitis B,"['HBV', 'Chronic HIV Infection']",Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",January 2024,"['TAF', 'TDF', 'TAF Placebo', 'TDF Placebo']"
NCT03391466,Efficacy of Axicabtagene Ciloleucel Compared to Standard of Care Therapy in Subjects With Relapsed/Refractory Diffuse Large B Cell Lymphoma,Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL),"Kite, A Gilead Company","Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']",January 2035,"['Axicabtagene Ciloleucel', 'Platinum-containing salvage chemotherapy (eg, R-ICE) followed by high dose therapy (eg, BEAM) and autologous stem cell transplant in responders.', 'Cyclophosphamide', 'Fludarabine']"
NCT03901339,Study of Sacituzumab Govitecan-hziy Versus Treatment of Physician's Choice in Participants With HR+/HER2- Metastatic Breast Cancer,Metastatic Breast Cancer,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']",October 2024,"['Sacituzumab Govitecan-hziy', 'Eribulin', 'Capecitabine', 'Gemcitabine', 'Vinorelbine']"
NCT03547908,"Safety and Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide Versus Dolutegravir + Emtricitabine/Tenofovir Disoproxil Fumarate in Treatment Naive, HIV-1 and Hepatitis B Co-Infected Adults",HIV-1/HBV Co-Infection,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']",February 2024,"['B/F/TAF', 'Placebo to match DTG', 'Placebo to match F/TDF', 'DTG', 'F/TDF', 'Placebo to match B/F/TAF']"
NCT04994509,Study to Assess Safety and Efficacy of Lenacapavir and Emtricitabine/Tenofovir Alafenamide for Pre-Exposure Prophylaxis in Adolescent Girls and Young Women at Risk of HIV Infection,Pre-Exposure Prophylaxis of HIV Infection,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']",July 2027,"['Oral Lenacapavir (LEN)', 'Subcutaneous (SC) Lenacapavir (LEN)', 'F/TAF', 'F/TDF', 'Placebo SC LEN', 'PTM Oral LEN', 'PTM F/TAF', 'PTM F/TDF']"
NCT04925752,Study to Assess the Effectiveness and Safety of Lenacapavir for Human Immunodeficiency Virus (HIV) Pre-Exposure Prophylaxis,Pre-Exposure Prophylaxis of HIV Infection,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']",April 2027,"['Oral Lenacapavir (LEN)', 'F/TDF', 'Sub-cutaneous (SC) Lenacapavir (LEN)', 'Placebo SC LEN', 'PTM F/TDF', 'PTM Oral LEN', 'F/TAF (for US participants only)']"
NCT04530344,Assess the Long Term Efficacy and Safety of Ruxolitinib Cream in Participants With Vitiligo,Vitiligo,Incyte Corporation,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","November 23, 2022","['ruxolitinib', 'Vehicle']"
NCT03260894,Pembrolizumab (MK-3475) Plus Epacadostat vs Standard of Care in mRCC (KEYNOTE-679/ECHO-302),Renal Cell Carcinoma (RCC),Incyte Corporation,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","February 8, 2023","['Pembrolizumab', 'Epacadostat', 'Sunitinib', 'Pazopanib']"
NCT03358472,"Pembrolizumab Plus Epacadostat, Pembrolizumab Monotherapy, and the EXTREME Regimen in Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-669/ECHO-304)",Head and Neck Cancer,Incyte Corporation,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","June 27, 2022","['Pembrolizumab', 'Epacadostat', 'Cetuximab', 'Cisplatin', 'Carboplatin', '5-Fluorouracil']"
NCT03112603,A Study of Ruxolitinib vs Best Available Therapy (BAT) in Patients With Steroid-refractory Chronic Graft vs. Host Disease (GvHD) After Bone Marrow Transplantation (REACH3),Graft-versus-host Disease (GVHD),Incyte Corporation,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","May 14, 2022","['Ruxolitinib', 'Extracorporeal photopheresis (ECP)', 'Low-dose methotrexate (MTX)', 'Mycophenolate mofetil (MMF)', 'mechanistic Target of Rapamycin (mTOR) inhibitors (everolimus or sirolimus)', 'Infliximab', 'Rituximab', 'Pentostatin', 'Imatinib', 'Ibrutinib']"
NCT05108922,A Study of Donanemab (LY3002813) Compared With Aducanumab in Participants With Early Symptomatic Alzheimer's Disease (TRAILBLAZER-ALZ 4),"['Mild Cognitive Impairment', 'Alzheimer Disease']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","July 2, 2024","['Donanemab', 'Aducanumab']"
NCT05024032,A Study of Tirzepatide (LY3298176) in Chinese Participants Without Type 2 Diabetes Who Have Obesity or Overweight (SURMOUNT-CN),"['Obesity', 'Overweight', 'Metabolism and Nutrition Disorder']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","December 14, 2022","['Tirzepatide', 'Placebo']"
NCT04437511,A Study of Donanemab (LY3002813) in Participants With Early Alzheimer's Disease (TRAILBLAZER-ALZ 2),Alzheimer Disease,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","August 22, 2025","['Donanemab', 'Placebo']"
NCT04184622,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight,"['Overweight', 'Obesity']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","May 24, 2024","['Tirzepatide', 'Placebo']"
NCT03899259,A Study of Baricitinib (LY3009104) in Adults With Severe or Very Severe Alopecia Areata,Alopecia Areata,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","May 27, 2024","['Baricitinib', 'Placebo']"
NCT03334435,A Study of Long-term Baricitinib (LY3009104) Therapy in Atopic Dermatitis,Atopic Dermatitis,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 30, 2023","['Baricitinib', 'Placebo']"
NCT03155997,Endocrine Therapy With or Without Abemaciclib (LY2835219) Following Surgery in Participants With Breast Cancer,Breast Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","June 24, 2029","['Abemaciclib', 'Standard Adjuvant Endocrine Therapy']"
NCT02152631,A Study of Abemaciclib (LY2835219) in Participants With Previously Treated KRAS Mutated Lung Cancer,Non Small Cell Lung Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 20, 2022","['Abemaciclib', 'Erlotinib']"
NCT02008357,Clinical Trial of Solanezumab for Older Individuals Who May be at Risk for Memory Loss,Cognition Disorders,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","December 29, 2022","['Placebo', 'Solanezumab']"
NCT03559270,A Study of Baricitinib (LY3009104) in Participants With Moderate to Severe Atopic Dermatitis,Atopic Dermatitis,Eli Lilly and Company,"Active, not recruiting",Phase 3,Drug,"May 27, 2022",Baricitinib
NCT04760314,A Study of Lebrikizumab (LY3650150) in Combination With Topical Corticosteroids in Japanese Participants With Moderate-to-Severe Atopic Dermatitis,"['Dermatitis, Atopic', 'Dermatitis', 'Eczema', 'Skin Diseases', 'Skin Diseases, Genetic']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","January 28, 2023","['Lebrikizumab', 'Placebo', 'Topical Corticosteroid']"
NCT04752332,A Study of Abemaciclib (LY2835219) Plus Hormone Therapy in Participants With Early Breast Cancer,Breast Neoplasms,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","February 9, 2024","['Abemaciclib', 'Standard Adjuvant ET', 'Placebo']"
NCT04537923,A Study of Tirzepatide (LY3298176) Versus Insulin Lispro (U100) in Participants With Type 2 Diabetes Inadequately Controlled on Insulin Glargine (U100) With or Without Metformin,Type 2 Diabetes,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","November 18, 2022","['Tirzepatide', 'Insulin Lispro (U100)', 'Insulin Glargine (U100)']"
NCT03428100,A Long-term Study of Baricitinib (LY3009104) With Topical Corticosteroids in Adults With Moderate to Severe Atopic Dermatitis That Are Not Controlled With Cyclosporine or for Those Who Cannot Take Oral Cyclosporine Because it is Not Medically Advisable,Atopic Dermatitis,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","June 30, 2023","['Baricitinib', 'Placebo', 'Topical corticosteroid']"
NCT02451943,A Study of Doxorubicin Plus Olaratumab (LY3012207) in Participants With Advanced or Metastatic Soft Tissue Sarcoma,Soft Tissue Sarcoma,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","February 28, 2023","['Olaratumab', 'Doxorubicin', 'Placebo']"
NCT02426125,A Study of Ramucirumab (LY3009806) Plus Docetaxel in Participants With Urothelial Cancer,Urothelial Carcinoma,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","December 30, 2022","['Ramucirumab', 'Docetaxel', 'Placebo']"
NCT02107703,A Study of Abemaciclib (LY2835219) Combined With Fulvestrant in Women With Hormone Receptor Positive HER2 Negative Breast Cancer,Breast Neoplasms,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","January 30, 2024","['Abemaciclib', 'Fulvestrant', 'Placebo']"
NCT00981058,First-line Treatment of Participants With Stage IV Squamous Non-Small Cell Lung Cancer With Necitumumab and Gemcitabine-Cisplatin,Non Small Cell Lung Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","July 31, 2023","['Necitumumab', 'Gemcitabine', 'Cisplatin']"
NCT04844918,A Study of Tirzepatide (LY3298176) in Participants With Obesity Disease,Obesity,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Other']","June 30, 2023","['Tirzepatide', 'Placebo']"
NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,"['Obesity', 'Overweight']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Other']","May 17, 2023","['Tirzepatide', 'Placebo']"
NCT04657016,A Study of Tirzepatide (LY3298176) In Participants After A Lifestyle Weight Loss Program,"['Obesity', 'Overweight']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Other']","May 11, 2023","['Tirzepatide', 'Placebo']"
NCT04657003,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Who Have Obesity or Are Overweight,"['Type 2 Diabetes', 'Overweight', 'Obesity']",Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Other']","April 17, 2023","['Tirzepatide', 'Placebo']"
NCT02246621,A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Postmenopausal Women With Breast Cancer,Breast Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","September 30, 2023","['Abemaciclib', 'Anastrozole', 'Letrozole', 'Placebo']"
NCT02763566,A Study of Abemaciclib (LY2835219) in Participants With Breast Cancer,Breast Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","February 28, 2023","['Abemaciclib', 'Anastrozole', 'Letrozole', 'Placebo', 'Fulvestrant']"
NCT02411448,A Study of Ramucirumab (LY3009806) in Combination With Erlotinib in Previously Untreated Participants With EGFR Mutation-Positive Metastatic NSCLC (RELAY),Metastatic Non-Small Cell Lung Cancer,Eli Lilly and Company,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","December 16, 2023","['Ramucirumab', 'Placebo', 'Erlotinib', 'Gefitinib', 'Osimertinib']"
NCT04195750,A Study of Belzutifan (MK-6482) Versus Everolimus in Participants With Advanced Renal Cell Carcinoma (MK-6482-005),"Carcinoma, Renal Cell",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 17, 2025","['Belzutifan', 'Everolimus']"
NCT04193176,Efficacy and Safety of Gefapixant (MK-7264) in Women With Chronic Cough and Stress Urinary Incontinence (MK-7264-042),Chronic Cough,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 23, 2022","['Gefapixant', 'Placebo']"
NCT04129398,MK-8228 (Letermovir) in the Prevention of Human Cytomegalovirus (CMV) Infection and Disease in Adult Japanese Kidney Transplant Recipients (MK-8228-042),"['Cytomegalovirus Infection', 'Cytomegalovirus Disease']",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","October 31, 2022","['Letermovir tablet', 'Letermovir IV']"
NCT03998254,"Efficacy, Immunogenicity and Safety of V503 in Chinese Women Aged 20-45 Years (V503-023)",Papillomavirus Infections,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","March 31, 2028","['V503', 'Gardasil']"
NCT04223778,Safety and Efficacy of a Switch to Doravirine/Islatravir in Participants With HIV-1 (MK-8591A-017)),HIV Infection,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,Drug,"September 16, 2022",DOR/ISL
NCT03783078,Pembrolizumab (MK-3475) as First-line Therapy for Advanced Merkel Cell Carcinoma (MK-3475-913),Merkel Cell Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,Drug,"June 16, 2032",Pembrolizumab (MK-3475)
NCT04525885,A Study of Gefapixant (MK-7264) in Adult Participants With Chronic Cough (MK-7264-030)-China Extension,Chronic Cough,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","September 26, 2022","['Gefapixant 45 mg twice daily (BID)', 'Gefapixant 15 mg BID', 'Placebo']"
NCT02403674,"Comparison of Doravirine, Tenofovir, Lamivudine (MK-1439A) and ATRIPLA™ in Treatment-Naive Human Immunodeficiency Virus Type 1 (HIV-1)-Infected Participants (MK-1439A-021)",Human Immunodeficiency Virus (HIV),Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","November 15, 2023","['Doravirine, Tenofovir, Lamivudine', 'ATRIPLA™', 'Placebo']"
NCT03713593,Safety and Efficacy of Lenvatinib (E7080/MK-7902) in Combination With Pembrolizumab (MK-3475) Versus Lenvatinib as First-line Therapy in Participants With Advanced Hepatocellular Carcinoma (MK-7902-002/E7080-G000-311/LEAP-002),"Carcinoma, Hepatocellular",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Biological', 'Drug']","December 31, 2023","['lenvatinib', 'pembrolizumab', 'saline placebo']"
NCT04889118,Safety and Efficacy Study of Pembrolizumab (MK-3475) Combined With Lenvatinib (MK-7902/E7080) as First-line Intervention in Adults With Advanced Melanoma (MK-7902-003/E7080-G000-312/LEAP-003)-China Extension Study,Malignant Melanoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","November 8, 2024","['Pembrolizumab', 'Lenvatinib', 'Placebo for lenvatinib']"
NCT04676412,Efficacy and Safety Study of Pembrolizumab (MK-3475) With or Without Lenvatinib (MK-7902/E7080) in Adults With Programmed Cell Death-Ligand 1 (PD-L1)-Positive Treatment-naïve Nonsmall Cell Lung Cancer (NSCLC) [MK-7902-007/E7080-G000-314/LEAP-007] - China Extension Study,Non-small Cell Lung Cancer,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","November 30, 2023","['Pembrolizumab', 'Lenvatinib', 'Placebo for lenvatinib']"
NCT03976375,Efficacy and Safety of Pembrolizumab (MK-3475) With Lenvatinib (E7080/MK-7902) vs. Docetaxel in Participants With Metastatic Non-Small Cell Lung Cancer (NSCLC) and Progressive Disease (PD) After Platinum Doublet Chemotherapy and Immunotherapy (MK-7902-008/E7080-G000-316/LEAP-008),Metastatic Non-Small Cell Lung Cancer,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","February 23, 2026","['Pembrolizumab', 'Lenvatinib', 'Docetaxel']"
NCT03898180,Study of First-line Pembrolizumab (MK-3475) With Lenvatinib (MK-7902/E7080) in Urothelial Carcinoma Cisplatin-ineligible Participants Whose Tumors Express Programmed Cell Death-Ligand 1 and in Participants Ineligible for Platinum-containing Chemotherapy (MK-7902-011/E7080-G000-317/ LEAP-011),Urothelial Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","October 31, 2023","['Pembrolizumab', 'Lenvatinib', 'Placebo for lenvatinib']"
NCT03834493,Study of Pembrolizumab (MK-3475) Plus Enzalutamide Versus Placebo Plus Enzalutamide in Participants With Metastatic Castration-resistant Prostate Cancer (mCRPC) (MK-3475-641/KEYNOTE-641),Prostatic Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","February 28, 2025","['Pembrolizumab', 'Enzalutamide', 'Placebo']"
NCT03829332,Efficacy and Safety Study of Pembrolizumab (MK-3475) With or Without Lenvatinib (MK-7902/E7080) in Adults With Programmed Cell Death-Ligand 1 (PD-L1)-Positive Treatment-naïve Nonsmall Cell Lung Cancer (NSCLC) (MK-7902-007/E7080-G000-314/LEAP-007),Non-small Cell Lung Cancer,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","March 8, 2024","['Pembrolizumab', 'Lenvatinib', 'Placebo for lenvatinib']"
NCT03820986,Safety and Efficacy Study of Pembrolizumab (MK-3475) Combined With Lenvatinib (MK-7902/E7080) as First-line Intervention in Adults With Advance Melanoma (MK-7902-003/E7080-G000-312/LEAP-003),Malignant Melanoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","April 6, 2024","['Pembrolizumab', 'Lenvatinib', 'Placebo for lenvatinib']"
NCT02853331,Study to Evaluate the Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Axitinib Versus Sunitinib Monotherapy in Participants With Renal Cell Carcinoma (MK-3475-426/KEYNOTE-426),Renal Cell Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug']","December 29, 2023","['Pembrolizumab', 'Axitinib', 'Sunitinib']"
NCT03142334,Safety and Efficacy Study of Pembrolizumab (MK-3475) as Monotherapy in the Adjuvant Treatment of Renal Cell Carcinoma Post Nephrectomy (MK-3475-564/KEYNOTE-564),Renal Cell Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug']","December 28, 2025","['Pembrolizumab', 'Placebo']"
NCT02864394,Study of Pembrolizumab Versus Docetaxel in Participants Previously Treated for Non-Small Cell Lung Cancer (MK-3475-033/KEYNOTE-033),"Carcinoma, Non-Small-Cell Lung",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug']","October 14, 2022","['Pembrolizumab', 'Docetaxel']"
NCT02362594,Study of Pembrolizumab (MK-3475) Versus Placebo After Complete Resection of High-Risk Stage III Melanoma (MK-3475-054/1325-MG/KEYNOTE-054),Melanoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug']","July 31, 2026","['pembrolizumab', 'placebo']"
NCT04776148,Study of Lenvatinib (MK-7902/E7080) in Combination With Pembrolizumab (MK-3475) Versus Standard of Care in Participants With Metastatic Colorectal Cancer (MK-7902-017/E7080-G000-325/LEAP-017),Colorectal Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","January 11, 2024","['pembrolizumab', 'lenvatinib', 'regorafenib', 'TAS-102 (trifluridine and tipiracil)']"
NCT04644029,Oral ISL QM as PrEP in Cisgender Women at High Risk for HIV-1 Infection (MK-8591-022),"['HIV-I', 'Human Immunodeficiency Virus Type 1', 'Prophylaxis']",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","July 5, 2024","['Islatravir', 'Placebo to FTC/TDF', 'FTC/TDF', 'Placebo to ISL']"
NCT04233879,"Randomized, Double-blind, Efficacy, and Safety Study of Doravirine/Islatravir (DOR/ISL) in Treatment-naïve Participants With Human Immunodeficiency Virus Type 1 (HIV-1) Infection (MK-8591A-020)",HIV-1 Infection,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","February 12, 2025","['DOR/ISL', 'BIC/FTC/TAF', 'Placebo to BIC/FTC/TAF', 'Placebo to DOR/ISL']"
NCT04223791,Switch to Doravirine/Islatravir (DOR/ISL) in Human Immunodeficiency Virus 1 (HIV-1) Participants Treated With Bictegravir/Emtricitabine/Tenofovir Alafenamide (BIC/FTC/TAF) (MK-8591A-018),HIV Infection,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","August 31, 2023","['DOR/ISL', 'BIC/FTC/TAF', 'Placebo to BIC/FTC/TAF', 'Placebo to FDC DOR/ISL']"
NCT02275780,Safety and Efficacy of Doravirine (MK-1439) in Participants With Human Immunodeficiency Virus 1 (HIV-1) (MK-1439-018),HIV-1,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","March 16, 2023","['Doravirine', 'Darunavir', 'Ritonavir', 'TRUVADA™ or EPZICOM™/KIVEXA™']"
NCT04865289,Pembrolizumab (MK-3475) Plus Lenvatinib (E7080/MK-7902) Versus Chemotherapy for Endometrial Carcinoma (ENGOT-en9 / MK-7902-001) - China Extension Study,Endometrial Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Biological', 'Drug', 'Drug']","April 30, 2024","['Lenvatinib', 'Pembrolizumab', 'Paclitaxel', 'Carboplatin']"
NCT03884101,Pembrolizumab (MK-3475) Plus Lenvatinib (E7080/MK-7902) Versus Chemotherapy for Endometrial Carcinoma (ENGOT-en9 / MK-7902-001),Endometrial Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Drug', 'Biological', 'Drug', 'Drug']","April 10, 2023","['Lenvatinib', 'Pembrolizumab', 'Paclitaxel', 'Carboplatin']"
NCT04924062,Pembrolizumab (MK-3475) Plus Gemcitabine/Cisplatin Versus Placebo Plus Gemcitabine/Cisplatin for First-Line Advanced and/or Unresectable Biliary Tract Carcinoma (BTC) (MK-3475-966/KEYNOTE-966)-China Extension Study,Biliary Tract Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","December 31, 2023","['Pembrolizumab', 'Gemcitabine', 'Cisplatin', 'Placebo']"
NCT04003636,Pembrolizumab (MK-3475) Plus Gemcitabine/Cisplatin Versus Placebo Plus Gemcitabine/Cisplatin for First-Line Advanced and/or Unresectable Biliary Tract Carcinoma (BTC) (MK-3475-966/KEYNOTE-966),Biliary Tract Carcinoma,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","August 31, 2023","['Pembrolizumab', 'Gemcitabine', 'Cisplatin', 'Placebo']"
NCT03850444,Study of Pembrolizumab (MK-3475) Versus Platinum-Based Chemotherapy for Participants With Programmed Cell Death-Ligand 1 (PD-L1)-Positive Advanced or Metastatic Non-Small Cell Lung Cancer (MK-3475-042/KEYNOTE-042)-China Extension Study,Non-small Cell Lung Cancer,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","September 12, 2022","['pembrolizumab', 'carboplatin', 'paclitaxel', 'pemetrexed']"
NCT03189719,First-line Esophageal Carcinoma Study With Chemo vs. Chemo Plus Pembrolizumab (MK-3475-590/KEYNOTE-590),Esophageal Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","June 2, 2023","['Pembrolizumab', 'Placebo', 'Cisplatin', '5-FU']"
NCT02853305,Study of Pembrolizumab With or Without Platinum-based Combination Chemotherapy Versus Chemotherapy Alone in Urothelial Carcinoma (MK-3475-361/KEYNOTE-361),"Urothelial Carcinoma Associated 1 RNA, Human",Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","July 5, 2022","['Pembrolizumab', 'Cisplatin', 'Carboplatin', 'Gemcitabine']"
NCT02611960,Study of Pembrolizumab (MK-3475) in Platinum Pre-treated Recurrent/Metastatic Nasopharyngeal Cancer (MK-3475-122/KEYNOTE-122),Nasopharyngeal Neoplasms,Merck Sharp & Dohme LLC,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug']","May 26, 2023","['Pembrolizumab', 'Capecitabine', 'Gemcitabine', 'Docetaxel']"
